product_url,product_name,brand,sku,image_url,star_rating,number_of_reviews,MRP,sale_price,discount_percentage,colour,description,details_and_care,style_1,category,material
https://www.debenhams.com/product/jon-richard-gold-bracelet-extender_p-4b287644-721e-4873-9b1c-0917634f010c?colour=Gold,Gold Bracelet Extender,Jon Richard,SKU: M5051024711187,https://media.boohoo.com/i/boohoo/m5051024711187_gold_xl.jpeg?sm=c&fmt=auto&qlt=75&w=%7B400%2A%24dpr%7D&dpr=1,5,1,1.5,1.2,20,Gold,"Love your bracelet, but want to wear it an inch longer? Our Jon Richard pack of two extension chains will give you the flexibility to wear it at different lengths. A must-have accessory to switch up your look.
Style: Bracelet",Fastening: Fold Over Clasp | Dimensions: 25mm | Drop Dimensions: 10mm,Bracelet,Accessories,Not Available
https://www.debenhams.com/product/jon-richard-gold-extension-chain_p-4543e5dd-df44-458f-a298-b96080098613?colour=Gold,Gold Extension Chain,Jon Richard,SKU: M5051024283509,https://media.boohoo.com/i/boohoo/m5051024283509_gold_xl.jpeg?sm=c&fmt=auto&qlt=75&w=%7B400%2A%24dpr%7D&dpr=1,5,1,1.5,1.2,20,Gold,"Love your bracelet, but want to wear it an inch longer? Our Jon Richard pack of two extension chains will give you the flexibility to wear it at different lengths. A must-have accessory to switch up your look.
Style: Bracelet",Fastening: Fold Over Clasp Bracelet Extender | Dimensions: 25mm | Drop Dimensions: 7mm,Bracelet,Accessories,Not Available
https://www.debenhams.com/product/jon-richard-silver-plated-extension-chain_p-7e82518f-e55d-42a8-b91b-f82f381d3331?colour=Silver,Silver Plated Extension Chain,Jon Richard,SKU: M5051024711170,https://media.boohoo.com/i/boohoo/m5051024711170_silver_xl.jpeg?sm=c&fmt=auto&qlt=75&w=%7B400%2A%24dpr%7D&dpr=1,5,2,1.5,1.2,20,Silver,"Jon Richard Silver Plated Extension Chain.
Style: Bracelet",Fold Over Clasp | 30mm | 50mm,Bracelet,Accessories,Not Available
https://www.debenhams.com/product/jon-richard-two-tone-bullet-back-pack-of-4_p-f93b297e-6e14-4f57-a2f9-95693bee8697?colour=Multi,Two Tone Bullet Back Pack of 4,Jon Richard,SKU: M5051024283530,https://media.boohoo.com/i/boohoo/m5051024283530_multi_xl.jpeg?sm=c&fmt=auto&qlt=75&w=%7B400%2A%24dpr%7D&dpr=1,5,4,2,1.6,20,Multi,"Lost the backs to your favourite pair of earrings? Our Jon Richard pack of four earring bullet backs are on hand to help. In a mix of gold and silver plate these are the perfect companion to your favourite studs or drops.
Style: Earrings",Fastening: Post and Bullet Back | Dimensions: 3mm | Drop Dimensions: 5mm,Earrings,Accessories,Not Available
https://www.debenhams.com/product/simply-silver-pouch-gift-box_p-fb447eb7-fe7b-418c-ba94-602b35fde367?colour=Dark%20Brown,Pouch Gift Box,Simply Silver,SKU: M5051024636206,https://media.boohoo.com/i/boohoo/m5051024636206_dark%20brown_xl.jpeg?sm=c&fmt=auto&qlt=75&w=%7B400%2A%24dpr%7D&dpr=1,5,1,3,1.68,44,Dark Brown,"Whether you are gifting a loved one or self-gifting, you can present and store your pieces with our Simply Silver packaging collection. Using anti-tarnish materials to ensure your products stay beautiful for longer.
Style: Jewellery Box",Fastening: ribbon fastening | Dimensions: 70mm | Drop Dimensions: 70mm,Jewellery Box,Accessories,Not Available
https://www.debenhams.com/product/simply-silver-product-gift-box_p-aaa5d0d8-0a68-4a69-8198-aa0beefea04e?colour=Black,Product Gift Box,Simply Silver,SKU: M5051024606452,https://media.boohoo.com/i/boohoo/m5051024606452_black_xl.jpeg?sm=c&fmt=auto&qlt=75&w=%7B400%2A%24dpr%7D&dpr=1,3,1,3,1.68,44,Black,"Whether you are gifting a loved one or self-gifting, you can present and store your pieces with our Simply Silver packaging collection. Using anti-tarnish materials to ensure your products stay beautiful for longer.
Style: Jewellery Box",Fastening: Box Clasp Fastening | Dimensions: 80mm | Drop Dimensions: 35mm,Jewellery Box,Accessories,Not Available
https://www.debenhams.com/product/jon-richard-square-gift-box_p-3bec18f2-2cf0-4f0d-ae1f-4d39e2854e1f?colour=Pink,Square Gift Box,Jon Richard,SKU: M5051024519233,https://media.boohoo.com/i/boohoo/m5051024519233_pink_xl.jpeg?sm=c&fmt=auto&qlt=75&w=%7B400%2A%24dpr%7D&dpr=1,Not Available,Not Available,3,1.68,44,Pink,"This blush pink box is decorated with silver foil message “For you..” it is a great way to display and present your jewellery. This box comes with a black foam insert to help keep your jewellery in place.
Style: Jewellery Box",Dimensions: 30mm | Drop Dimensions: 80mm,Jewellery Box,Accessories,Not Available
https://www.debenhams.com/product/jewelco-london-18ct-white-gold-diamond-7ct-amethyst-cocktail-solitaire-ring-16mm_p-08c62381-fe22-48fa-8d61-2363e312ab22?colour=Silver,18ct White Gold Diamond 7ct Amethyst Cocktail Solitaire Ring 16mm,Jewelco London,SKU: M5054132597049,https://media.boohoo.com/i/boohoo/m5054132597049_silver_xl.jpeg?sm=c&fmt=auto&qlt=75&w=%7B400%2A%24dpr%7D&dpr=1,Not Available,Not Available,2.5,2,Not Available,Silver,"Welcome to Jewelco London and thank you for visiting! Jewelco London Conflict Free, Ladies Solid 18ct White Gold 4 Claw Set Round G SI1 0.04ct Diamond and Emerald Purple 7ct Amethyst Cocktail 16mm Solitaire Ring. This gorgeous cocktail style dress ring is crafted from sleek 18ct white gold and set with a delicious violet amethyst gemstone crossed over with sparkling fine diamonds. A wonderful gift for any occasion and a sumptuous way to complete your look and generate an aura of elegance. Ring Size Info : While most rings are ready for same day despatch, on occasion we may need to adjust the ring to fit, so please allow an extra couple of days for delivery. Should you require your ring for a specific date, please contact our customer service team before placing your order. Additionally, should you require a size that is not listed, please contact our team.
Style: Ring","Width: 16mm | Weight: 4.8g | Gemstone: Diamond, Round, G, Si1, 0.04ct, Natural, Not-treated | Gemstone 2: Amethyst, Emerald, Purple, 7ct, Not-treated | Clean Jewellery Pieces Regularly With A Lint Free Polishing Cloth To Prevent Tarnishing. Ask A Professional Jeweller To Clean Very Dirty Pieces. Store Your Jewellery In The Gift Boxes Supplied.",Ring,Accessories,Not Available
https://www.debenhams.com/product/jon-richard-gold-and-silver-extension-chains-pack-of-2_p-226f98c5-9afa-44ea-9fa6-6be26d713b72?colour=Multi,Gold and Silver Extension Chains - Pack of 2,Jon Richard,SKU: M5051024283486,https://media.boohoo.com/i/boohoo/m5051024283486_multi_xl.jpeg?sm=c&fmt=auto&qlt=75&w=%7B400%2A%24dpr%7D&dpr=1,4.7,3,2.5,2,20,Multi,"Jon Richard Gold and Silver Extension Chains - Pack of 2
Style: Necklace",Extender Lobster Clasp,Bracelet,Accessories,Not Available
https://www.debenhams.com/product/jon-richard-rose-gold-extension-chain-pack-of-2_p-4a6dae7c-4277-4869-b993-cc08d1adb7e7?colour=Rose%20Gold,Rose Gold Extension Chain Pack of 2,Jon Richard,SKU: M5051024501917,https://media.boohoo.com/i/boohoo/m5051024501917_rose%20gold_xl.jpeg?sm=c&fmt=auto&qlt=75&w=%7B400%2A%24dpr%7D&dpr=1,Not Available,Not Available,2.5,2,20,Rose Gold,"Love your necklace, but want to wear it an inch longer? Our Jon Richard pack of two extension chains will give you the flexibility to wear it at different lengths. A must-have accessory to switch up your look.
Style: Necklace","Fastening: Lobster Clasp Fastening | Chain Length: 2.5""",Necklace,Accessories,Not Available
https://www.debenhams.com/product/jon-richard-large-gift-box_p-973d8f91-178c-43b8-9041-a9a18cac2426?colour=Pink,Large Gift Box,Jon Richard,SKU: M5051024519240,https://media.boohoo.com/i/boohoo/m5051024519240_pink_xl.jpeg?sm=c&fmt=auto&qlt=75&w=%7B400%2A%24dpr%7D&dpr=1,5,1,4,2.24,44,Pink,"This blush pink box is decorated with silver foil message “For you..” it is a great way to display and present your jewellery. This box comes with a black foam insert to help keep your jewellery in place.
Style: Jewellery Box",Dimensions: 145mm x 145mm x 35mm,Jewellery Box,Accessories,Not Available
https://www.debenhams.com/product/jon-richard-pink-pearl-stud-earrings_p-5a73a9f9-4eb1-421c-b5f9-51206c7e2562?colour=Pink,Pink Pearl Stud Earrings,Jon Richard,SKU: M5051024562628,https://media.boohoo.com/i/boohoo/m5051024562628_pink_xl.jpeg?sm=c&fmt=auto&qlt=75&w=%7B400%2A%24dpr%7D&dpr=1,2,1,8,4,50,Pink,"Our Jon Richard pink pearl stud earrings are a must-have in your jewellery box this season. Featuring a simple faux pearl stud, this classic and elegant design will add a touch of sparkle to any outfit. These earrings can be worn separately or layered with other pieces. The perfect gift for yourself or a loved one.
Style: Earrings",Fastening: post & bullet back fastening | Dimensions: 8mm,Earrings,Accessories,Not Available
https://www.debenhams.com/product/accessorize-suedette-clip-frame-clutch-bag_p-71fd6c29-0caf-4e41-97c6-157ded62cba4?colour=Black,Suedette Clip Frame Clutch Bag,Accessorize,SKU: M5045462984562,https://media.boohoo.com/i/boohoo/m5045462984562_black_xl.jpeg?sm=c&fmt=auto&qlt=75&w=%7B400%2A%24dpr%7D&dpr=1,Not Available,Not Available,6,4.5,Not Available,Black,"From clutch to cross-body, this luxurious piece will happily accompany you to special occasions. Designed with a soft, faux suede exterior, the interior is the perfect size for your purse, lipstick and keys. Tuck the chain strap inside and wear in-hand, or style over the shoulder for a hands free option.
Style: Clutch
Design: Plain
Fabric: N/A","Outer, 90% Zinc, 10% Stone. L: 16 cm x W: 25 cm. Wipe clean only.",Clutch,Bags & Footwear ,Not Available
